"","pts","proba","freq","pts","proba_test","freq_test"
"1","[410,425)",0.527896995708155,233,"[410,425)",0.473214285714286,112
"2","[425,440)",0.464144736842105,3040,"[425,440)",0.446902654867257,1356
"3","[440,455)",0.38277949069316,8757,"[440,455)",0.374443571615606,3819
"4","[455,470)",0.34156036784337,16855,"[455,470)",0.338840660879306,7142
"5","[470,485)",0.262684352100918,21562,"[470,485)",0.261904761904762,9156
"6","[485,500)",0.215463676711049,21405,"[485,500)",0.211542681588765,9114
"7","[500,515)",0.176273876324888,17643,"[500,515)",0.180325715786709,7614
"8","[515,530)",0.159792104390136,9043,"[515,530)",0.164468580294802,3867
"9","[530,545)",0.120096852300242,8260,"[530,545)",0.121721778791334,3508
"10","[545,560)",0.102094240837696,6876,"[545,560)",0.111853088480801,2995
"11","[560,575)",0.0745626214940294,7202,"[560,575)",0.0694579681921454,3081
"12","[575,590)",0.0629639813032719,3637,"[575,590)",0.0598765432098765,1620
"13","[590,605)",0.0562878517990737,2807,"[590,605)",0.0772495755517827,1178
"14","[605,620)",0.0371747211895911,1883,"[605,620)",0.0459492140266022,827
"15","[620,635)",0.03601108033241,361,"[620,635)",0.0215827338129496,139
"16","[635,650)",0,48,"[635,650)",0.0526315789473684,19
